day,stream,truck,routing_mode,stop_order,local_node,Stop_ID,Serials_at_stop,label,is_depot,pickup_gal,pickup_lb,service_min
0,Bottles/Cans,T2,VRP,1,0,,,DEPOT,1,0,0,0
0,Bottles/Cans,T2,VRP,2,20,1516530,1516530,U33 Spieker Plaza,0,78,23,4
0,Bottles/Cans,T2,VRP,3,4,1515722,1515722,U09 MLK Ramp,0,106,32,4
0,Bottles/Cans,T2,VRP,4,17,1515773,1515773,U07 Cal Book Store,0,138,42,4
0,Bottles/Cans,T2,VRP,5,6,1515725,1515725,U27 Anthony Hall,0,61,18,4
0,Bottles/Cans,T2,VRP,6,19,1515778,1515778,U15 Sather Gate,0,62,19,4
0,Bottles/Cans,T2,VRP,7,5,1515723,1515723,E13 Stanley Hall,0,55,16,4
0,Bottles/Cans,T2,VRP,8,21,2503774,2503774,E18 Latimer Courtyard,0,66,20,4
0,Bottles/Cans,T2,VRP,9,8,1515727,1515727,E16 Campanile,0,67,20,4
0,Bottles/Cans,T2,VRP,10,14,1515764,1515764,E29 Campanile East,0,12,4,4
0,Bottles/Cans,T2,VRP,11,10,1515734,1515734,U19 Wheeler Walkway,0,76,23,4
0,Bottles/Cans,T2,VRP,12,7,1515726,1515726,E15 Bancroft Library,0,67,20,4
0,Bottles/Cans,T2,VRP,13,1,1503642,1503642,E14 Physics,0,53,16,4
0,Bottles/Cans,T2,VRP,14,15,1515765,1515765,E02 North Entrance Memorial Glade,0,129,39,4
0,Bottles/Cans,T2,VRP,15,16,1515766,1515766,E07 Sutardja Dai Hall/Yali's 2,0,33,10,4
0,Bottles/Cans,T2,VRP,16,18,1515776,1515776,E06 Sutardja Dali Hall/Yali's 1,0,87,26,4
0,Bottles/Cans,T2,VRP,17,2,1514012,1514012,Bechtel West,0,77,23,4
0,Bottles/Cans,T2,VRP,18,13,1515761,1515761,E05 V&A Cafe/Etcheverry,0,92,28,4
0,Bottles/Cans,T2,VRP,19,3,1514021,1514021,001 Berkeley Way (Offsite),0,83,25,4
0,Bottles/Cans,T2,VRP,20,9,1515731,1515731,W02 Crescent,0,66,20,4
0,Bottles/Cans,T2,VRP,21,12,1515739,1515739,U17 Dwinelle Plaza Entry,0,140,42,4
0,Bottles/Cans,T2,VRP,22,11,1515738,1515738,U05 Cesar Chavez,0,25,8,4
0,Bottles/Cans,T2,VRP,23,0,,,DEPOT,1,0,0,0
0,Compostables,T1,VRP,1,0,,,DEPOT,1,0,0,0
0,Compostables,T1,VRP,2,19,1515759,1515759,U09 MLK Ramp,0,60,72,4
