Serial,stream,service_day,truck,inventory_gal_before_service,inventory_pct_before_service,pickup_gal,pickup_lb,interval_deadline
1503614,Compostables,0,T1,165.31,110.21,165.31,198.38,0.0
1503621,Waste,0,T3,79.43,52.95,79.43,79.43,2.0
1503637,Compostables,0,T1,91.91,61.27,91.91,110.29,2.0
1503641,Compostables,0,T1,45.84,30.56,45.84,55.0,1.0
1503642,Bottles/Cans,0,T2,52.54,35.03,52.54,15.76,0.0
1503651,Compostables,0,T1,84.85,56.57,84.85,101.82,0.0
1514001,Compostables,0,T1,115.08,76.72,115.08,138.1,0.0
1514003,Compostables,0,T1,187.5,125.0,187.5,225.0,0.0
1514004,Compostables,0,T1,76.49,50.99,76.49,91.79,0.0
1514012,Bottles/Cans,0,T2,76.73,51.15,76.73,23.02,1.0
1514021,Bottles/Cans,0,T2,83.48,55.65,83.48,25.04,0.0
1514023,Waste,0,T3,61.95,41.3,61.95,61.95,5.0
1514024,Waste,0,T3,56.21,37.48,56.21,56.21,5.0
1514026,Waste,0,T3,187.5,125.0,187.5,187.5,1.0
1514027,Waste,0,T3,104.77,69.85,104.77,104.77,1.0
1514031,Waste,0,T3,90.57,60.38,90.57,90.57,4.0
1515668,Waste,0,T3,88.26,58.84,88.26,88.26,1.0
1515670,Waste,0,T3,85.04,56.69,85.04,85.04,4.0
1515673,Waste,0,T3,85.01,56.67,85.01,85.01,5.0
1515674,Waste,0,T3,187.5,125.0,187.5,187.5,1.0
1515680,Waste,0,T3,55.14,36.76,55.14,55.14,6.0
1515685,Compostables,0,T1,38.95,25.97,38.95,46.74,6.0
1515687,Compostables,0,T1,88.23,58.82,88.23,105.88,1.0
1515690,Compostables,0,T1,141.17,94.11,141.17,169.4,1.0
1515692,Waste,0,T3,46.7,31.14,46.7,46.7,6.0
1515696,Waste,0,T3,60.88,40.58,60.88,60.88,6.0
1515701,Waste,0,T3,26.27,17.52,26.27,26.27,5.0
1515704,Waste,0,T3,73.89,49.26,73.89,73.89,4.0
1515711,Waste,0,T3,58.33,38.89,58.33,58.33,6.0
1515712,Compostables,0,T1,22.86,15.24,22.86,27.43,1.0
1515716,Compostables,0,T1,102.08,68.05,102.08,122.5,0.0
1515718,Compostables,0,T1,30.25,20.16,30.25,36.3,6.0
1515722,Bottles/Cans,0,T2,106.39,70.93,106.39,31.92,0.0
1515723,Bottles/Cans,0,T2,54.85,36.57,54.85,16.46,0.0
1515725,Bottles/Cans,0,T2,60.78,40.52,60.78,18.23,0.0
1515726,Bottles/Cans,0,T2,67.21,44.81,67.21,20.16,0.0
1515727,Bottles/Cans,0,T2,66.66,44.44,66.66,20.0,1.0
1515731,Bottles/Cans,0,T2,66.12,44.08,66.12,19.84,1.0
1515734,Bottles/Cans,0,T2,76.36,50.91,76.36,22.91,1.0
1515738,Bottles/Cans,0,T2,25.2,16.8,25.2,7.56,0.0
1515739,Bottles/Cans,0,T2,139.93,93.29,139.93,41.98,1.0
1515742,Waste,0,T3,181.72,121.15,181.72,181.72,1.0
1515743,Waste,0,T3,187.5,125.0,187.5,187.5,1.0
1515745,Waste,0,T3,77.1,51.4,77.1,77.1,1.0
1515747,Waste,0,T3,58.5,39.0,58.5,58.5,6.0
1515748,Compostables,0,T1,33.51,22.34,33.51,40.21,1.0
1515750,Compostables,0,T1,162.01,108.0,162.01,194.41,0.0
1515751,Compostables,0,T1,90.01,60.01,90.01,108.01,4.0
1515757,Compostables,0,T1,44.82,29.88,44.82,53.78,1.0
1515758,Compostables,0,T1,45.93,30.62,45.93,55.12,6.0
1515759,Compostables,0,T1,59.62,39.74,59.62,71.54,6.0
1515761,Bottles/Cans,0,T2,92.22,61.48,92.22,27.67,0.0
1515764,Bottles/Cans,0,T2,11.95,7.97,11.95,3.59,1.0
1515765,Bottles/Cans,0,T2,129.44,86.29,129.44,38.83,0.0
1515766,Bottles/Cans,0,T2,33.23,22.15,33.23,9.97,0.0
1515773,Bottles/Cans,0,T2,138.33,92.22,138.33,41.5,1.0
1515776,Bottles/Cans,0,T2,86.72,57.82,86.72,26.02,0.0
1515778,Bottles/Cans,0,T2,62.18,41.45,62.18,18.65,4.0
1515784,Compostables,0,T1,150.13,100.09,150.13,180.16,1.0
1515787,Compostables,0,T1,59.77,39.85,59.77,71.73,1.0
1515788,Compostables,0,T1,125.1,83.4,125.1,150.12,0.0
1515791,Compostables,0,T1,44.65,29.77,44.65,53.58,6.0
1516530,Bottles/Cans,0,T2,77.71,51.81,77.71,23.31,0.0
1516537,Compostables,0,T1,75.12,50.08,75.12,90.14,2.0
1516538,Compostables,0,T1,54.18,36.12,54.18,65.02,1.0
1516543,Compostables,0,T1,78.13,52.09,78.13,93.76,1.0
1516554,Waste,0,T3,163.71,109.14,163.71,163.71,1.0
1516556,Waste,0,T3,81.3,54.2,81.3,81.3,1.0
1520912,Compostables,0,T1,60.55,40.37,60.55,72.66,0.0
1520913,Waste,0,T3,46.39,30.93,46.39,46.39,5.0
1520915,Waste,0,T3,145.56,97.04,145.56,145.56,2.0
2503763,Compostables,0,T1,104.61,69.74,104.61,125.53,0.0
2503767,Waste,0,T3,58.5,39.0,58.5,58.5,0.0
2503769,Waste,0,T3,93.95,62.64,93.95,93.95,1.0
2503774,Bottles/Cans,0,T2,65.72,43.82,65.72,19.72,1.0
1503638,Bottles/Cans,1,T1,80.61,53.74,80.61,24.18,1.0
1514013,Bottles/Cans,1,T1,123.86,82.57,123.86,37.16,1.0
1514014,Bottles/Cans,1,T1,27.82,18.55,27.82,8.35,1.0
1514015,Bottles/Cans,1,T1,49.97,33.32,49.97,14.99,1.0
1514018,Bottles/Cans,1,T1,26.69,17.8,26.69,8.01,1.0
1514020,Bottles/Cans,1,T1,58.38,38.92,58.38,17.52,1.0
1514024,Waste,1,T3,28.11,18.74,28.11,28.11,5.0
1515666,Waste,1,T3,90.72,60.48,90.72,90.72,4.0
1515667,Waste,1,T3,83.38,55.59,83.38,83.38,6.0
1515671,Waste,1,T3,89.28,59.52,89.28,89.28,5.0
1515693,Waste,1,T3,97.81,65.21,97.81,97.81,6.0
1515694,Waste,1,T3,59.48,39.66,59.48,59.48,
1515696,Waste,1,T3,60.88,40.58,60.88,60.88,6.0
1515703,Waste,1,T3,52.71,35.14,52.71,52.71,1.0
1515711,Waste,1,T3,58.33,38.89,58.33,58.33,6.0
1515714,Compostables,1,T2,69.28,46.19,69.28,83.14,5.0
1515729,Bottles/Cans,1,T1,58.75,39.17,58.75,17.62,1.0
1515735,Bottles/Cans,1,T1,55.07,36.71,55.07,16.52,1.0
1515740,Bottles/Cans,1,T1,54.64,36.43,54.64,16.39,1.0
1515744,Waste,1,T3,99.36,66.24,99.36,99.36,6.0
1515747,Waste,1,T3,58.5,39.0,58.5,58.5,6.0
1515753,Compostables,1,T2,59.71,39.81,59.71,71.65,
1515755,Compostables,1,T2,93.46,62.3,93.46,112.15,6.0
1515759,Compostables,1,T2,59.62,39.74,59.62,71.54,6.0
1515760,Bottles/Cans,1,T1,102.12,68.08,102.12,30.63,1.0
1515771,Bottles/Cans,1,T1,21.14,14.09,21.14,6.34,1.0
1515775,Bottles/Cans,1,T1,135.38,90.26,135.38,40.61,1.0
1515777,Bottles/Cans,1,T1,68.37,45.58,68.37,20.51,4.0
1515783,Waste,1,T3,64.25,42.84,64.25,64.25,6.0
1515786,Compostables,1,T2,69.92,46.61,69.92,83.91,6.0
1515790,Compostables,1,T2,66.82,44.55,66.82,80.19,6.0
1516524,Bottles/Cans,1,T1,52.24,34.82,52.24,15.67,1.0
1516532,Bottles/Cans,1,T1,93.6,62.4,93.6,28.08,1.0
1516533,Bottles/Cans,1,T1,30.9,20.6,30.9,9.27,1.0
1516535,Bottles/Cans,1,T1,82.34,54.89,82.34,24.7,1.0
1516537,Compostables,1,T2,15.02,10.02,15.02,18.03,2.0
