day,truck,assigned_stream,pickup_gal_used,pickup_gal_capacity_effective,pickup_lb_used,pickup_lb_capacity_effective,extra_dumps,minutes_used_without_dumps,minutes_used_total,overtime_min,minutes_capacity_regular,minutes_capacity_with_overtime,resource_model
0,T1,Compostables,2378.66,2500.0,2854.39,6500.0,4,392.0,460.0,0.0,480.0,480.0,single_shift_truck_day
0,T2,Bottles/Cans,1573.77,1800.0,472.13,5200.0,3,336.0,387.0,0.0,480.0,480.0,single_shift_truck_day
0,T3,Waste,2441.7,2500.0,2441.7,6500.0,4,364.0,432.0,0.0,480.0,480.0,single_shift_truck_day
1,T1,Bottles/Cans,1312.97,1350.0,393.89,3900.0,2,420.0,454.0,0.0,480.0,480.0,single_shift_truck_day
1,T2,Compostables,452.85,500.0,543.42,1300.0,0,112.0,112.0,0.0,480.0,480.0,single_shift_truck_day
1,T3,Waste,990.6,1000.0,990.6,2600.0,1,196.0,213.0,0.0,480.0,480.0,single_shift_truck_day
2,T1,Bottles/Cans,391.92,450.0,117.58,1300.0,0,70.0,70.0,0.0,480.0,480.0,single_shift_truck_day
2,T2,Waste,1948.01,2000.0,1948.01,5200.0,3,364.0,415.0,0.0,480.0,480.0,single_shift_truck_day
2,T3,Compostables,1357.83,1500.0,1629.39,3900.0,2,238.0,272.0,0.0,480.0,480.0,single_shift_truck_day
3,T1,Compostables,990.19,1000.0,1188.23,2600.0,1,182.0,199.0,0.0,480.0,480.0,single_shift_truck_day
3,T2,Waste,495.81,500.0,495.81,1300.0,0,112.0,112.0,0.0,480.0,480.0,single_shift_truck_day
3,T3,Waste,2410.14,3000.0,2410.14,7800.0,5,392.0,477.0,0.0,480.0,480.0,single_shift_truck_day
4,T1,Compostables,1821.93,2000.0,2186.32,5200.0,3,336.0,387.0,0.0,480.0,480.0,single_shift_truck_day
4,T2,Bottles/Cans,431.01,450.0,129.3,1300.0,0,84.0,84.0,0.0,480.0,480.0,single_shift_truck_day
4,T3,Waste,911.3,1000.0,911.3,2600.0,1,168.0,185.0,0.0,480.0,480.0,single_shift_truck_day
5,T1,Compostables,417.21,500.0,500.65,1300.0,0,84.0,84.0,0.0,480.0,480.0,single_shift_truck_day
5,T2,Compostables,472.41,500.0,566.9,1300.0,0,98.0,98.0,0.0,480.0,480.0,single_shift_truck_day
5,T3,Waste,701.33,1000.0,701.33,2600.0,1,126.0,143.0,0.0,480.0,480.0,single_shift_truck_day
6,T1,Bottles/Cans,141.87,450.0,42.56,1300.0,0,42.0,42.0,0.0,480.0,480.0,single_shift_truck_day
6,T2,Compostables,51.93,500.0,62.32,1300.0,0,28.0,28.0,0.0,480.0,480.0,single_shift_truck_day
6,T3,Waste,208.74,500.0,208.74,1300.0,0,56.0,56.0,0.0,480.0,480.0,single_shift_truck_day
