day,stream,truck,routing_mode,stop_order,local_node,Stop_ID,Serials_at_stop,label,is_depot,pickup_gal,pickup_lb,service_min,rolling_day
0,Bottles/Cans,T3,VRP,1,0,,,DEPOT,1,0,0,0,1
0,Bottles/Cans,T3,VRP,2,20,1516530.0,1516530.0,U33 Spieker Plaza,0,78,23,4,1
0,Bottles/Cans,T3,VRP,3,7,1515722.0,1515722.0,U09 MLK Ramp,0,106,32,4,1
0,Bottles/Cans,T3,VRP,4,9,1515725.0,1515725.0,U27 Anthony Hall,0,61,18,4,1
0,Bottles/Cans,T3,VRP,5,23,1516535.0,1516535.0,West Circle,0,71,21,4,1
0,Bottles/Cans,T3,VRP,6,24,1520909.0,1520909.0,U23 Law Building west of Heyman Terrace,0,49,15,4,1
0,Bottles/Cans,T3,VRP,7,12,1515729.0,1515729.0,E25 Cronk Gate,0,50,15,4,1
0,Bottles/Cans,T3,VRP,8,5,1514020.0,1514020.0,E21 Cafe Think,0,50,15,4,1
0,Bottles/Cans,T3,VRP,9,4,1514015.0,1514015.0,E24 Chiet Hall,0,43,13,4,1
0,Bottles/Cans,T3,VRP,10,8,1515723.0,1515723.0,E13 Stanley Hall,0,55,16,4,1
0,Bottles/Cans,T3,VRP,11,25,2503774.0,2503774.0,E18 Latimer Courtyard,0,66,20,4,1
0,Bottles/Cans,T3,VRP,12,11,1515727.0,1515727.0,E16 Campanile,0,67,20,4,1
0,Bottles/Cans,T3,VRP,13,18,1515775.0,1515775.0,U18 Dwinelle Walkway,0,116,35,4,1
0,Bottles/Cans,T3,VRP,14,10,1515726.0,1515726.0,E15 Bancroft Library,0,67,20,4,1
0,Bottles/Cans,T3,VRP,15,2,1503642.0,1503642.0,E14 Physics,0,53,16,4,1
0,Bottles/Cans,T3,VRP,16,16,1515765.0,1515765.0,E02 North Entrance Memorial Glade,0,129,39,4,1
0,Bottles/Cans,T3,VRP,17,17,1515766.0,1515766.0,E07 Sutardja Dai Hall/Yali's 2,0,33,10,4,1
0,Bottles/Cans,T3,VRP,18,3,1514012.0,1514012.0,Bechtel West,0,77,23,4,1
0,Bottles/Cans,T3,VRP,19,19,1515776.0,1515776.0,E06 Sutardja Dali Hall/Yali's 1,0,87,26,4,1
0,Bottles/Cans,T3,VRP,20,15,1515761.0,1515761.0,E05 V&A Cafe/Etcheverry,0,92,28,4,1
0,Bottles/Cans,T3,VRP,21,21,1516532.0,1516532.0,W16 VLSB Northside,0,80,24,4,1
0,Bottles/Cans,T3,VRP,22,1,1503638.0,1503638.0,W08 University Drive,0,69,21,4,1
0,Bottles/Cans,T3,VRP,23,13,1515731.0,1515731.0,W02 Crescent,0,66,20,4,1
0,Bottles/Cans,T3,VRP,24,6,1514021.0,1514021.0,001 Berkeley Way (Offsite),0,83,25,4,1
0,Bottles/Cans,T3,VRP,25,22,1516533.0,1516533.0,W15 Koshland,0,26,8,4,1
0,Bottles/Cans,T3,VRP,26,14,1515738.0,1515738.0,U05 Cesar Chavez,0,25,8,4,1
0,Bottles/Cans,T3,VRP,27,0,,,DEPOT,1,0,0,0,1
0,Compostables,T2,VRP,1,0,,,DEPOT,1,0,0,0,1
0,Compostables,T2,VRP,2,25,2503763.0,2503763.0,U03 Grade Street,0,105,126,4,1
