day,stream,scheduled_bins,scheduled_stops,routed_stops,dropped_stops,active_trucks,selected_mode,total_pickup_gal,total_pickup_lb,total_service_min_only,total_effective_volume_cap,total_effective_mass_cap,rolling_day
0,Bottles/Cans,25,25,25,0,1,VRP,1699,511,100,1800,5200,1
0,Compostables,25,25,25,0,1,VRP,2289,2745,100,2500,6500,1
0,Waste,28,28,28,0,1,VRP,2543,2543,112,3000,7800,1
0,Bottles/Cans,17,17,17,0,1,VRP,1215,365,68,1350,3900,2
0,Compostables,23,23,23,0,1,VRP,1224,1473,92,1500,3900,2
0,Waste,13,13,13,0,1,VRP,856,856,52,1000,2600,2
0,Bottles/Cans,6,6,6,0,1,SingleTruckRoute,281,84,24,450,1300,3
0,Compostables,10,10,10,0,1,SingleTruckRoute,493,592,40,500,1300,3
0,Waste,21,21,21,0,1,VRP,1453,1453,84,1500,3900,3
0,Bottles/Cans,3,3,3,0,1,SingleTruckRoute,126,38,12,450,1300,4
0,Compostables,7,7,7,0,1,SingleTruckRoute,340,408,28,500,1300,4
0,Waste,20,20,20,0,1,VRP,1410,1410,80,1500,3900,4
0,Bottles/Cans,5,5,5,0,1,VRP,451,136,20,900,2600,5
0,Compostables,28,28,28,0,1,VRP,1701,2041,112,2000,5200,5
0,Waste,28,28,28,0,1,VRP,1819,1819,112,2000,5200,5
