Serial,stream,service_day,truck,inventory_gal_before_service,inventory_pct_before_service,pickup_gal,pickup_lb,interval_deadline,rolling_day
1503614,Compostables,0,T2,165.31,110.21,150.0,180.0,0.0,1
1503621,Waste,0,T1,79.43,52.95,79.43,79.43,2.0,1
1503624,Waste,0,T1,29.77,19.84,29.77,29.77,6.0,1
1503637,Compostables,0,T2,91.91,61.27,91.91,110.29,2.0,1
1503642,Bottles/Cans,0,T3,52.54,35.03,5.0,1.5,0.0,1
1503651,Compostables,0,T2,84.85,56.57,84.85,101.82,0.0,1
1514001,Compostables,0,T2,115.08,76.72,115.08,138.1,0.0,1
1514003,Compostables,0,T2,205.81,137.21,150.0,180.0,0.0,1
1514004,Compostables,0,T2,76.49,50.99,76.49,91.79,0.0,1
1514021,Bottles/Cans,0,T3,83.48,55.65,8.48,2.54,0.0,1
1514023,Waste,0,T1,61.95,41.3,61.95,61.95,5.0,1
1514026,Waste,0,T1,225.0,150.0,150.0,150.0,1.0,1
1514027,Waste,0,T1,104.77,69.85,104.77,104.77,1.0,1
1514031,Waste,0,T1,90.57,60.38,60.94,60.94,4.0,1
1515668,Waste,0,T1,88.26,58.84,86.52,86.52,1.0,1
1515670,Waste,0,T1,85.04,56.69,85.04,85.04,4.0,1
1515671,Waste,0,T1,59.52,39.68,58.79,58.79,5.0,1
1515673,Waste,0,T1,85.01,56.67,85.01,85.01,5.0,1
1515674,Waste,0,T1,210.85,140.56,150.0,150.0,1.0,1
1515680,Waste,0,T1,55.14,36.76,20.28,20.28,6.0,1
1515687,Compostables,0,T2,88.23,58.82,88.23,105.88,1.0,1
1515690,Compostables,0,T2,141.17,94.11,141.17,169.4,1.0,1
1515692,Waste,0,T1,46.7,31.14,46.7,46.7,6.0,1
1515693,Waste,0,T1,48.91,32.6,7.81,7.81,6.0,1
1515696,Waste,0,T1,60.88,40.58,31.75,31.75,6.0,1
1515704,Waste,0,T1,73.89,49.26,73.89,73.89,4.0,1
1515711,Waste,0,T1,58.33,38.89,26.66,26.66,6.0,1
1515716,Compostables,0,T2,102.08,68.05,102.08,122.5,0.0,1
1515722,Bottles/Cans,0,T3,106.39,70.93,47.59,14.28,0.0,1
1515723,Bottles/Cans,0,T3,54.85,36.57,5.0,1.5,0.0,1
1515725,Bottles/Cans,0,T3,60.78,40.52,5.0,1.5,0.0,1
1515726,Bottles/Cans,0,T3,67.21,44.81,5.0,1.5,0.0,1
1515738,Bottles/Cans,0,T3,25.2,16.8,5.0,1.5,0.0,1
1515739,Bottles/Cans,0,T3,139.93,93.29,129.87,38.96,1.0,1
1515742,Waste,0,T1,181.72,121.15,122.01,122.01,1.0,1
1515743,Waste,0,T1,193.0,128.67,135.17,135.17,1.0,1
1515744,Waste,0,T1,49.68,33.12,9.36,9.36,6.0,1
1515747,Waste,0,T1,58.5,39.0,26.99,26.99,6.0,1
1515750,Compostables,0,T2,162.01,108.0,150.0,180.0,0.0,1
1515751,Compostables,0,T2,90.01,60.01,90.01,108.01,4.0,1
1515755,Compostables,0,T2,46.73,31.15,5.0,6.0,6.0,1
1515759,Compostables,0,T2,59.62,39.74,59.62,71.54,6.0,1
1515761,Bottles/Cans,0,T3,92.22,61.48,17.22,5.17,0.0,1
1515765,Bottles/Cans,0,T3,129.44,86.29,57.1,17.13,0.0,1
1515766,Bottles/Cans,0,T3,33.23,22.15,5.0,1.5,0.0,1
1515773,Bottles/Cans,0,T3,138.33,92.22,126.66,38.0,1.0,1
1515776,Bottles/Cans,0,T3,86.72,57.82,11.72,3.52,0.0,1
1515784,Compostables,0,T2,150.13,100.09,85.15,102.18,1.0,1
1515787,Compostables,0,T2,59.77,39.85,59.77,71.73,1.0,1
1515788,Compostables,0,T2,125.1,83.4,125.1,150.12,0.0,1
1516530,Bottles/Cans,0,T3,77.71,51.81,5.0,1.5,0.0,1
1516543,Compostables,0,T2,78.13,52.09,78.13,93.76,1.0,1
1516554,Waste,0,T1,163.71,109.14,100.99,100.99,1.0,1
1516556,Waste,0,T1,81.3,54.2,72.61,72.61,1.0,1
1520912,Compostables,0,T2,60.55,40.37,60.55,72.66,0.0,1
