day,stream,truck,routing_mode,stop_order,local_node,Stop_ID,Serials_at_stop,label,is_depot,pickup_gal,pickup_lb,service_min
0,Bottles/Cans,T2,VRP,1,0,,,DEPOT,1,0,0,0
0,Bottles/Cans,T2,VRP,2,9,1515738,1515738,U05 Cesar Chavez,0,25,8,4
0,Bottles/Cans,T2,VRP,3,10,1515739,1515739,U17 Dwinelle Plaza Entry,0,140,42,4
0,Bottles/Cans,T2,VRP,4,16,1516530,1516530,U33 Spieker Plaza,0,78,23,4
0,Bottles/Cans,T2,VRP,5,4,1515722,1515722,U09 MLK Ramp,0,106,32,4
0,Bottles/Cans,T2,VRP,6,14,1515773,1515773,U07 Cal Book Store,0,138,42,4
0,Bottles/Cans,T2,VRP,7,6,1515725,1515725,U27 Anthony Hall,0,61,18,4
0,Bottles/Cans,T2,VRP,8,8,1515735,1515735,U20 Sproul Hall UCPD,0,47,14,4
0,Bottles/Cans,T2,VRP,9,2,1514020,1514020,E21 Cafe Think,0,50,15,4
0,Bottles/Cans,T2,VRP,10,5,1515723,1515723,E13 Stanley Hall,0,55,16,4
0,Bottles/Cans,T2,VRP,11,1,1503642,1503642,E14 Physics,0,53,16,4
0,Bottles/Cans,T2,VRP,12,7,1515726,1515726,E15 Bancroft Library,0,67,20,4
0,Bottles/Cans,T2,VRP,13,12,1515765,1515765,E02 North Entrance Memorial Glade,0,129,39,4
0,Bottles/Cans,T2,VRP,14,15,1515776,1515776,E06 Sutardja Dali Hall/Yali's 1,0,87,26,4
0,Bottles/Cans,T2,VRP,15,13,1515766,1515766,E07 Sutardja Dai Hall/Yali's 2,0,33,10,4
0,Bottles/Cans,T2,VRP,16,11,1515761,1515761,E05 V&A Cafe/Etcheverry,0,92,28,4
0,Bottles/Cans,T2,VRP,17,3,1514021,1514021,001 Berkeley Way (Offsite),0,83,25,4
0,Bottles/Cans,T2,VRP,18,0,,,DEPOT,1,0,0,0
0,Compostables,T1,VRP,1,0,,,DEPOT,1,0,0,0
0,Compostables,T1,VRP,2,13,1515759,1515759,U09 MLK Ramp,0,60,72,4
0,Compostables,T1,VRP,3,7,1515687,1515687,U20 Sproul Hall UCPD,0,88,106,4
0,Compostables,T1,VRP,4,11,1515751,1515751,U14 Sproul Hall Steps,0,90,108,4
0,Compostables,T1,VRP,5,16,1516537,1516537,U30 Birge Path,0,75,90,4
