Serial,stream,day,inventory_gal_start,inventory_pct_start,pickup_flag,pickup_gal,inventory_gal_after_service,overflow_flag,threshold_violation_gal
1514021,Bottles/Cans,0,83.48,55.65,1,83.48,0.0,0,0.0
1514021,Bottles/Cans,1,8.35,5.57,0,0.0,8.35,0,0.0
1514021,Bottles/Cans,2,16.7,11.13,0,0.0,16.7,0,0.0
1514021,Bottles/Cans,3,25.04,16.7,0,0.0,25.04,0,0.0
1514021,Bottles/Cans,4,33.39,22.26,0,0.0,33.39,0,0.0
1514021,Bottles/Cans,5,41.74,27.83,0,0.0,41.74,0,0.0
1514021,Bottles/Cans,6,50.09,33.39,0,0.0,50.09,0,0.0
1515723,Bottles/Cans,0,54.85,36.57,1,54.85,0.0,0,0.0
1515723,Bottles/Cans,1,5.49,3.66,0,0.0,5.49,0,0.0
1515723,Bottles/Cans,2,10.97,7.31,0,0.0,10.97,0,0.0
1515723,Bottles/Cans,3,16.46,10.97,0,0.0,16.46,0,0.0
1515723,Bottles/Cans,4,21.94,14.63,0,0.0,21.94,0,0.0
1515723,Bottles/Cans,5,27.43,18.28,0,0.0,27.43,0,0.0
1515723,Bottles/Cans,6,32.91,21.94,0,0.0,32.91,0,0.0
1515725,Bottles/Cans,0,60.78,40.52,1,60.78,0.0,0,0.0
1515725,Bottles/Cans,1,6.08,4.05,0,0.0,6.08,0,0.0
1515725,Bottles/Cans,2,12.16,8.1,0,0.0,12.16,0,0.0
1515725,Bottles/Cans,3,18.23,12.16,0,0.0,18.23,0,0.0
1515725,Bottles/Cans,4,24.31,16.21,0,0.0,24.31,0,0.0
1515725,Bottles/Cans,5,30.39,20.26,0,0.0,30.39,0,0.0
1515725,Bottles/Cans,6,36.47,24.31,0,0.0,36.47,0,0.0
1515726,Bottles/Cans,0,67.21,44.81,1,67.21,0.0,0,0.0
1515726,Bottles/Cans,1,6.72,4.48,0,0.0,6.72,0,0.0
1515726,Bottles/Cans,2,13.44,8.96,0,0.0,13.44,0,0.0
