Serial,stream,service_day,truck,inventory_gal_before_service,inventory_pct_before_service,pickup_gal,pickup_lb,interval_deadline
1503614,Compostables,0,T1,165.31,110.21,165.31,198.38,0.0
1503637,Compostables,0,T1,91.91,61.27,91.91,110.29,2.0
1503642,Bottles/Cans,0,T2,52.54,35.03,52.54,15.76,0.0
1503651,Compostables,0,T1,84.85,56.57,84.85,101.82,0.0
1514001,Compostables,0,T1,115.08,76.72,115.08,138.1,0.0
1514003,Compostables,0,T1,187.5,125.0,187.5,225.0,0.0
1514004,Compostables,0,T1,76.49,50.99,76.49,91.79,0.0
1514020,Bottles/Cans,0,T2,50.04,33.36,50.04,15.01,1.0
1514021,Bottles/Cans,0,T2,83.48,55.65,83.48,25.04,0.0
1514023,Waste,0,T3,61.95,41.3,61.95,61.95,5.0
1514026,Waste,0,T3,187.5,125.0,187.5,187.5,1.0
1514027,Waste,0,T3,104.77,69.85,104.77,104.77,1.0
1514031,Waste,0,T3,90.57,60.38,90.57,90.57,4.0
1515666,Waste,0,T3,68.04,45.36,68.04,68.04,4.0
1515668,Waste,0,T3,88.26,58.84,88.26,88.26,1.0
1515670,Waste,0,T3,85.04,56.69,85.04,85.04,4.0
1515671,Waste,0,T3,59.52,39.68,59.52,59.52,5.0
1515673,Waste,0,T3,85.01,56.67,85.01,85.01,5.0
1515674,Waste,0,T3,187.5,125.0,187.5,187.5,1.0
1515680,Waste,0,T3,55.14,36.76,55.14,55.14,6.0
1515687,Compostables,0,T1,88.23,58.82,88.23,105.88,1.0
1515690,Compostables,0,T1,141.17,94.11,141.17,169.4,1.0
1515693,Waste,0,T3,48.91,32.6,48.91,48.91,6.0
1515696,Waste,0,T3,60.88,40.58,60.88,60.88,6.0
1515703,Waste,0,T3,45.18,30.12,45.18,45.18,1.0
1515704,Waste,0,T3,73.89,49.26,73.89,73.89,4.0
1515711,Waste,0,T3,58.33,38.89,58.33,58.33,6.0
1515716,Compostables,0,T1,102.08,68.05,102.08,122.5,0.0
1515722,Bottles/Cans,0,T2,106.39,70.93,106.39,31.92,0.0
1515723,Bottles/Cans,0,T2,54.85,36.57,54.85,16.46,0.0
1515725,Bottles/Cans,0,T2,60.78,40.52,60.78,18.23,0.0
1515726,Bottles/Cans,0,T2,67.21,44.81,67.21,20.16,0.0
1515735,Bottles/Cans,0,T2,47.2,31.47,47.2,14.16,1.0
1515738,Bottles/Cans,0,T2,25.2,16.8,25.2,7.56,0.0
1515739,Bottles/Cans,0,T2,139.93,93.29,139.93,41.98,1.0
1515742,Waste,0,T3,181.72,121.15,181.72,181.72,1.0
1515743,Waste,0,T3,187.5,125.0,187.5,187.5,1.0
1515745,Waste,0,T3,77.1,51.4,77.1,77.1,1.0
1515747,Waste,0,T3,58.5,39.0,58.5,58.5,6.0
1515750,Compostables,0,T1,162.01,108.0,162.01,194.41,0.0
1515751,Compostables,0,T1,90.01,60.01,90.01,108.01,4.0
1515758,Compostables,0,T1,45.93,30.62,45.93,55.12,6.0
1515759,Compostables,0,T1,59.62,39.74,59.62,71.54,6.0
1515761,Bottles/Cans,0,T2,92.22,61.48,92.22,27.67,0.0
1515765,Bottles/Cans,0,T2,129.44,86.29,129.44,38.83,0.0
1515766,Bottles/Cans,0,T2,33.23,22.15,33.23,9.97,0.0
1515773,Bottles/Cans,0,T2,138.33,92.22,138.33,41.5,1.0
1515776,Bottles/Cans,0,T2,86.72,57.82,86.72,26.02,0.0
1515784,Compostables,0,T1,150.13,100.09,150.13,180.16,1.0
1515788,Compostables,0,T1,125.1,83.4,125.1,150.12,0.0
1516530,Bottles/Cans,0,T2,77.71,51.81,77.71,23.31,0.0
1516537,Compostables,0,T1,75.12,50.08,75.12,90.14,2.0
1516538,Compostables,0,T1,54.18,36.12,54.18,65.02,1.0
1516554,Waste,0,T3,163.71,109.14,163.71,163.71,1.0
1516556,Waste,0,T3,81.3,54.2,81.3,81.3,1.0
1520912,Compostables,0,T1,60.55,40.37,60.55,72.66,0.0
1520913,Waste,0,T3,46.39,30.93,46.39,46.39,5.0
1520915,Waste,0,T3,145.56,97.04,145.56,145.56,2.0
2503763,Compostables,0,T1,104.61,69.74,104.61,125.53,0.0
2503767,Waste,0,T3,58.5,39.0,58.5,58.5,0.0
2503768,Waste,0,T3,39.21,26.14,39.21,39.21,6.0
2503769,Waste,0,T3,93.95,62.64,93.95,93.95,1.0
1503621,Waste,1,T3,95.32,63.54,95.32,95.32,2.0
1503624,Waste,1,T3,59.53,39.69,59.53,59.53,6.0
1503633,Waste,1,T3,48.55,32.37,48.55,48.55,6.0
1503638,Bottles/Cans,1,T2,80.61,53.74,80.61,24.18,1.0
1503641,Compostables,1,T1,53.47,35.65,53.47,64.17,1.0
1514010,Compostables,1,T1,58.34,38.89,58.34,70.01,
1514012,Bottles/Cans,1,T2,89.52,59.68,89.52,26.86,1.0
1514013,Bottles/Cans,1,T2,123.86,82.57,123.86,37.16,1.0
1514014,Bottles/Cans,1,T2,27.82,18.55,27.82,8.35,1.0
1514015,Bottles/Cans,1,T2,49.97,33.32,49.97,14.99,1.0
1514018,Bottles/Cans,1,T2,26.69,17.8,26.69,8.01,1.0
1514024,Waste,1,T3,84.32,56.21,84.32,84.32,5.0
1514031,Waste,1,T3,30.19,20.13,30.19,30.19,4.0
1515667,Waste,1,T3,83.38,55.59,83.38,83.38,6.0
1515680,Waste,1,T3,55.14,36.76,55.14,55.14,6.0
1515685,Compostables,1,T1,77.91,51.94,77.91,93.49,6.0
1515688,Compostables,1,T1,52.3,34.86,52.3,62.76,4.0
