Account: UC - Berkeley
User: Sam
Generated On: 02/11/2026
Filters: 
Streams: All
Groups: All
Components: All
Status: All


"Description","Serial","Streams","Model ID","Capacity","Status","Fullness Threshold","Age Threshold","Last Called","Lat","Lng","Modem","Door Lock Type"
"001 Berkeley Way (Offsite)","1514008","Compostables","SM5","Smart Max","In Service","60%","7 days","4 hours ago","37.87365610076599","-122.26741734892131","LE910","Manual Lock"
"001 Berkeley Way (Offsite)","1514021","Bottles/Cans","SM5","Smart Max","In Service","60%","Disabled","8 hours ago","37.87364339729022","-122.26740393787624","ME910","Manual Lock"
"Bechtel East","1514004","Compostables","SM5","Smart Max","In Service","60%","7 days","6 hours ago","37.87392909537397","-122.257781243598","LE910","Manual Lock"
"Bechtel East","1514018","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.87392909537397","-122.257781243598","LE910","Manual Lock"
"Bechtel East","1514027","Waste","SM5","Smart Max","In Service","60%","7 days","33 minutes ago","37.87392909537397","-122.257781243598","LE910","Manual Lock"
"Bechtel West","1514006","Compostables","SM5","Smart Max","In Service","60%","7 days","4 hours ago","37.87419708756524","-122.2587256731566","LE910","Manual Lock"
"Bechtel West","1514012","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.87419708756524","-122.2587256731566","LE910","Manual Lock"
"Bechtel West","1514024","Waste","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.87419708756524","-122.2587256731566","LE910","Manual Lock"
"Botanical Gardens","500101635","Compostables","SM5","Smart Max","In Service","60%","Disabled","11 hours ago","37.87541421263475","-122.23899631776","ME910","Manual Lock"
"Botanical Gardens","500101630","Bottles/Cans","SM5","Smart Max","In Service","60%","Disabled","6 hours ago","37.87541421263475","-122.23899631776","ME910","Manual Lock"
"Botanical Gardens","500101640","Waste","SM5","Smart Max","In Service","60%","Disabled","9 months ago","37.87541421263475","-122.23899631776","ME910","Manual Lock"
"Cheit Hall 2","1514011","Bottles/Cans","SM5","Smart Max","In Service","60%","Disabled","6 hours ago","37.87188981663252","-122.2544355412221","LE910","Manual Lock"
"Chiet Hall 2","1514022","Waste","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.87193362556668","-122.2544256668339","LE910","Manual Lock"
"Chiet Hall 2","1514000","Compostables","SM5","Smart Max","In Service","60%","7 days","4 hours ago","37.87193838883972","-122.2544265740014","LE910","Manual Lock"
"E01 California Hall","1515787","Compostables","SM5","Smart Max","In Service","60%","7 days","an hour ago","37.87219201075585","-122.26005602627994","LE910","Manual Lock"
"E01 California Hall","1515699","Waste","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.872190422789934","-122.26005468517543","LE910","Manual Lock"
"E01 California Hall","1515763","Bottles/Cans","SM5","Smart Max","In Service","60%","Disabled","2 hours ago","37.872190952111914","-122.26005535572769","LE910","Manual Lock"
"E02 North Entrance Memorial Glade","1515765","Bottles/Cans","SM5","Smart Max","In Service","60%","Disabled","8 hours ago","37.873269173082235","-122.25997455418108","LE910","Manual Lock"
"E02 North Entrance Memorial Glade","1515743","Waste","SM5","Smart Max","In Service","60%","7 days","10 hours ago","37.87326599719681","-122.25996918976307","LE910","Manual Lock"
"E02 North Entrance Memorial Glade","1515750","Compostables","SM5","Smart Max","In Service","60%","7 days","11 hours ago","37.87326599719681","-122.2599745541811","LE910","Manual Lock"
"E03 University Library","1515742","Waste","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.8728593933986","-122.2593042252641","LE910","Manual Lock"
"E03 University Library","1515774","Bottles/Cans","SM5","Smart Max","In Service","60%","Disabled","4 hours ago","37.8728593933986","-122.2593042252641","LE910","Manual Lock"
"E03 University Library","1515788","Compostables","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.8728593933986","-122.2593042252641","ME910","Manual Lock"
"E04 North Gate Entrance","1515732","Bottles/Cans","SM5","Smart Max","In Service","60%","Disabled","an hour ago","37.87456174708477","-122.26019114255905","ME910","Manual Lock"
"E04 North Gate Entrance","1515673","Waste","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.87456148243231","-122.26019013673067","ME910","Manual Lock"
"E04 North Gate Entrance","1515715","Compostables","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.874561217779835","-122.26019013673067","ME910","Manual Lock"
"E05 V&A Cafe/Etcheverry","1515761","Bottles/Cans","SM5","Smart Max","In Service","60%","Disabled","8 hours ago","37.87561717357402","-122.25893653929232","LE910","Manual Lock"
"E05 V&A Cafe/Etcheverry","1515686","Compostables","SM5","Smart Max","In Service","60%","7 days","3 hours ago","37.87560976341065","-122.25893385708332","LE910","Manual Lock"
"E05 V&A Cafe/Etcheverry","1515704","Waste","SM5","Smart Max","In Service","60%","7 days","2 hours ago","37.87561585033063","-122.25893586874008","LE910","Manual Lock"
"E06 Sutardja Dali Hall/Yali's 1","1515776","Bottles/Cans","SM5","Smart Max","In Service","60%","Disabled","9 hours ago","37.87487324238327","-122.25890267640351","LE910","Manual Lock"
"E06 Sutardja Dali Hall/Yali's 1","1515700","Waste","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.87487112517242","-122.25890066474676","LE910","Manual Lock"
"E06 Sutardja Dali Hall/Yali's 1","1515756","Compostables","SM5","Smart Max","In Service","60%","7 days","41 minutes ago","37.87486053911734","-122.25889999419451","LE910","Manual Lock"
