Account: UC - Berkeley,,,,,,,
User: Sam,,,,,,,
Generated On: 02/24/2026,,,,,,,
For Time Period: January 1  2023 - January 1  2024,,,,,,,
Filters: ,,,,,,,
Streams: All,,,,,,,
Groups: All,,,,,,,
Ordered Route: All,,,,,,,
,,,,,,,
,,,,,,,
Serial,Description,Capacity,Stream Type,Reason,Fullness Level at Collection,Collection Time,Note
1515818,U04 Zellerbach,Smart Max,Compostables,Fullness,60%,1/3/2023 6:31,-
1515817,U11 Golden Bear Cafe Entry,Smart Max,Compostables,Alert, Alert - Unknown Fullness,1/3/2023 6:37,-
1515687,U20 Sproul Hall UCPD,Smart Max,Compostables,Fullness,60%,1/3/2023 6:41,-
2503768,W06 West Circle,Smart Max,Waste,Fullness,60%,1/3/2023 6:43,-
1516538,U28 Wheeler,Smart Max,Compostables,Fullness,60%,1/3/2023 6:44,-
1515745,W12 VLSB/Campanile Way,Smart Max,Waste,Fullness,60%,1/3/2023 6:49,-
1503636,E28 Library/Campanile Way,Smart Max,Compostables,Fullness,100%,1/3/2023 6:54,-
1514030,U16 Durant Hall,Smart Max,Waste,Fullness,60%,1/3/2023 6:59,-
1516548,W17 Mulford Hall,Smart Max,Waste,Fullness,60%,1/3/2023 7:03,-
1515673,E04 North Gate Entrance,Smart Max,Waste,Fullness,60%,1/3/2023 7:08,-
1515766,E07 Sutardja Dai Hall/Yali's 2,Smart Max,Bottles/Cans,Alert, Alert - Unknown Fullness,1/3/2023 7:11,-
1515733,E08 Cory Hall,Smart Max,Bottles/Cans,Fullness,60%,1/3/2023 7:14,-
2503767,U26 A&E Sproul,Smart Max,Waste,Fullness,60%,1/3/2023 7:22,-
1515777,U14 Sproul Hall Steps,Smart Max,Bottles/Cans,Fullness,80%,1/3/2023 7:24,-
1515769,U12 Upper MLK Union,Smart Max,Bottles/Cans,Fullness,80%,1/3/2023 7:26,-
1516550,U33 Spieker Plaza,Smart Max,Waste,Fullness,60%,1/3/2023 7:28,-
1515767,U08 MLK Courtyard,Smart Max,Bottles/Cans,Fullness,80%,1/3/2023 7:35,-
1515753,U08 MLK Courtyard,Smart Max,Compostables,Fullness,80%,1/3/2023 7:35,-
1520922,E26  Bechtel West Side,Smart Max,Compostables,Not Ready,40%,1/4/2023 5:18,-
1515692,U15 Sather Gate,Smart Max,Waste,Not Ready,0%,1/4/2023 5:24,-
1515666,E16 Campanile,Smart Max,Waste,Fullness,60%,1/4/2023 7:08,-
1515675,U27 Anthony Hall,Smart Max,Waste,Fullness,60%,1/4/2023 7:17,-
1515668,E25 Cronk Gate,Smart Max,Waste,Fullness,60%,1/4/2023 7:23,-
1515685,U13 Bancroft Way,Smart Max,Compostables,Fullness,80%,1/4/2023 7:40,-
1515786,U15 Sather Gate,Smart Max,Compostables,Fullness,60%,1/4/2023 7:42,-
1503614,W08 University Drive,Smart Max,Compostables,Fullness,60%,1/4/2023 7:49,-
1515720,"U24 Rice & Bones, Wurster",Smart Max,Bottles/Cans,Fullness,60%,1/4/2023 8:38,-
2503772,W06 West Circle,Smart Max,Bottles/Cans,Fullness,80%,1/4/2023 8:48,-
1515724,U11 Golden Bear Cafe Entry,Smart Max,Bottles/Cans,Fullness,100%,1/4/2023 8:58,-
1503636,E28 Library/Campanile Way,Smart Max,Compostables,Not Ready,0%,1/4/2023 9:46,-
1516539,W15 Koshland,Smart Max,Compostables,Not Ready,0%,1/5/2023 4:39,-
1503636,E28 Library/Campanile Way,Smart Max,Compostables,Not Ready,0%,1/5/2023 5:10,-
1515791,U05 Cesar Chavez,Smart Max,Compostables,Not Ready,20%,1/5/2023 7:18,-
1516557,W15 Koshland,Smart Max,Waste,Fullness,80%,1/5/2023 7:21,-
1515700,E06 Sutardja Dali Hall/Yali's 1,Smart Max,Waste,Fullness,60%,1/5/2023 7:31,-
1515727,E16 Campanile,Smart Max,Bottles/Cans,Fullness,80%,1/5/2023 7:48,-
1514015,E24 Chiet Hall,Smart Max,Bottles/Cans,Fullness,80%,1/5/2023 8:10,-
1514019,U25 Anthropology and Art Practice (B/C),Smart Max,Bottles/Cans,Fullness,80%,1/5/2023 8:15,-
1520909,U23 Law Building west of Heyman Terrace,Smart Max,Bottles/Cans,Fullness,80%,1/5/2023 8:17,-
1503639,E22 May Morrison Hall,Smart Max,Bottles/Cans,Fullness,60%,1/5/2023 8:21,-
1515778,U15 Sather Gate,Smart Max,Bottles/Cans,Fullness,80%,1/5/2023 8:25,-
1515728,W01 Lower Crescent,Smart Max,Bottles/Cans,Fullness,80%,1/5/2023 8:41,-
1515737,W03 Li Ka Shing Hall,Smart Max,Bottles/Cans,Fullness,80%,1/5/2023 8:44,-
1515790,U12 Upper MLK Union,Smart Max,Compostables,Not Ready,60%,1/6/2023 4:41,-
1515729,E25 Cronk Gate,Smart Max,Bottles/Cans,Not Ready,0%,1/6/2023 4:50,-
1503633,W18 Campanile Way West Entrance,Smart Max,Waste,Fullness,60%,1/6/2023 6:21,-
1515711,U07 Cal Book Store,Smart Max,Waste,Fullness,60%,1/6/2023 6:30,-
1515691,E25 Cronk Gate,Smart Max,Compostables,Not Ready,0%,1/6/2023 6:36,-
1503621,E19 South Path Drive,Smart Max,Waste,Fullness,100%,1/6/2023 6:36,-
1515684,E13 Stanley Hall,Smart Max,Compostables,Not Ready,20%,1/6/2023 7:12,-
1515748,E12 Evans Hall Bus Stop,Smart Max,Compostables,Not Ready,20%,1/6/2023 7:23,-
1520922,E26  Bechtel West Side,Smart Max,Compostables,Not Ready,0%,1/6/2023 7:52,-
1515686,E05 V&A Cafe/Etcheverry,Smart Max,Compostables,Not Ready,0%,1/6/2023 8:04,-
1515756,E06 Sutardja Dali Hall/Yali's 1,Smart Max,Compostables,Alert, Alert - Unknown Fullness,1/6/2023 8:13,-
