day,stream,truck,routing_mode,stop_order,local_node,Stop_ID,Serials_at_stop,label,is_depot,pickup_gal,pickup_lb,service_min,rolling_day
0,Bottles/Cans,T2,SingleTruckRoute,1,0,,,DEPOT,1,0,0,0,1
0,Bottles/Cans,T2,SingleTruckRoute,2,1,1503642.0,1503642.0,E14 Physics,0,5,2,4,1
0,Bottles/Cans,T2,SingleTruckRoute,3,4,1515723.0,1515723.0,E13 Stanley Hall,0,0,0,4,1
0,Bottles/Cans,T2,SingleTruckRoute,4,5,1515725.0,1515725.0,U27 Anthony Hall,0,5,2,4,1
0,Bottles/Cans,T2,SingleTruckRoute,5,13,1515769.0,1515769.0,U12 Upper MLK Union,0,1,0,4,1
0,Bottles/Cans,T2,SingleTruckRoute,6,14,1515773.0,1515773.0,U07 Cal Book Store,0,127,38,4,1
0,Bottles/Cans,T2,SingleTruckRoute,7,3,1515722.0,1515722.0,U09 MLK Ramp,0,48,14,4,1
0,Bottles/Cans,T2,SingleTruckRoute,8,16,1516530.0,1516530.0,U33 Spieker Plaza,0,3,1,4,1
0,Bottles/Cans,T2,SingleTruckRoute,9,9,1515739.0,1515739.0,U17 Dwinelle Plaza Entry,0,130,39,4,1
0,Bottles/Cans,T2,SingleTruckRoute,10,8,1515738.0,1515738.0,U05 Cesar Chavez,0,5,2,4,1
0,Bottles/Cans,T2,SingleTruckRoute,11,2,1514021.0,1514021.0,001 Berkeley Way (Offsite),0,8,3,4,1
0,Bottles/Cans,T2,SingleTruckRoute,12,10,1515761.0,1515761.0,E05 V&A Cafe/Etcheverry,0,17,5,4,1
0,Bottles/Cans,T2,SingleTruckRoute,13,7,1515732.0,1515732.0,E04 North Gate Entrance,0,0,0,4,1
0,Bottles/Cans,T2,SingleTruckRoute,14,12,1515766.0,1515766.0,E07 Sutardja Dai Hall/Yali's 2,0,5,2,4,1
0,Bottles/Cans,T2,SingleTruckRoute,15,15,1515776.0,1515776.0,E06 Sutardja Dali Hall/Yali's 1,0,12,4,4,1
0,Bottles/Cans,T2,SingleTruckRoute,16,11,1515765.0,1515765.0,E02 North Entrance Memorial Glade,0,57,17,4,1
0,Bottles/Cans,T2,SingleTruckRoute,17,6,1515726.0,1515726.0,E15 Bancroft Library,0,0,0,4,1
0,Bottles/Cans,T2,SingleTruckRoute,18,0,,,DEPOT,1,0,0,0,1
0,Compostables,T3,VRP,1,0,,,DEPOT,1,0,0,0,1
0,Compostables,T3,VRP,2,15,1515784.0,1515784.0,U19 Wheeler Walkway,0,125,150,4,1
0,Compostables,T3,VRP,3,20,1516538.0,1516538.0,U28 Wheeler,0,0,0,4,1
0,Compostables,T3,VRP,4,11,1515716.0,1515716.0,E16 Campanile,0,40,48,4,1
0,Compostables,T3,VRP,5,3,1503641.0,1503641.0,E19 South Path Drive,0,0,0,4,1
0,Compostables,T3,VRP,6,2,1503637.0,1503637.0,E22 May Morrison Hall,0,52,63,4,1
0,Compostables,T3,VRP,7,19,1516537.0,1516537.0,U30 Birge Path,0,15,18,4,1
0,Compostables,T3,VRP,8,24,1520925.0,1520925.0,Stadium Gate 3,0,0,0,4,1
0,Compostables,T3,VRP,9,23,1520924.0,1520924.0,Hearst Gym Annex,0,0,0,4,1
0,Compostables,T3,VRP,10,8,1515687.0,1515687.0,U20 Sproul Hall UCPD,0,26,32,4,1
0,Compostables,T3,VRP,11,14,1515757.0,1515757.0,W12 VLSB/Campanile Way,0,0,0,4,1
0,Compostables,T3,VRP,12,16,1515785.0,1515785.0,U02 Spieker Plaza Center,0,0,0,4,1
0,Compostables,T3,VRP,13,25,2503763.0,2503763.0,U03 Grade Street,0,30,36,4,1
0,Compostables,T3,VRP,14,5,1514001.0,1514001.0,U16 Durant Hall,0,51,62,4,1
0,Compostables,T3,VRP,15,9,1515690.0,1515690.0,W02 Crescent,0,132,159,4,1
0,Compostables,T3,VRP,16,1,1503614.0,1503614.0,W08 University Drive,0,150,180,4,1
0,Compostables,T3,VRP,17,21,1516543.0,1516543.0,W16 VLSB Northside,0,6,8,4,1
0,Compostables,T3,VRP,18,6,1514003.0,1514003.0,W11 Moffitt Library @ Press,0,150,180,4,1
