Serial,stream,day,inventory_gal_start,inventory_pct_start,pickup_flag,pickup_gal,inventory_gal_after_service,overflow_flag,overflow_slack_gal,threshold_violation_gal
1514021,Bottles/Cans,0,83.48,55.65,1,8.48,75.0,0,0.0,0.0
1514021,Bottles/Cans,1,83.35,55.57,0,0.0,83.35,0,0.0,0.0
1514021,Bottles/Cans,2,91.7,61.13,0,0.0,91.7,0,0.0,0.0
1514021,Bottles/Cans,3,100.04,66.7,0,0.0,100.04,0,0.0,0.0
1514021,Bottles/Cans,4,108.39,72.26,0,0.0,108.39,0,0.0,0.0
1514021,Bottles/Cans,5,116.74,77.83,0,0.0,116.74,0,0.0,0.0
1514021,Bottles/Cans,6,125.09,83.39,0,0.0,125.09,0,0.0,0.0
1515723,Bottles/Cans,0,54.85,36.57,1,0.0,54.85,0,0.0,0.0
1515723,Bottles/Cans,1,60.34,40.23,0,0.0,60.34,0,0.0,0.0
1515723,Bottles/Cans,2,65.82,43.88,0,0.0,65.82,0,0.0,0.0
1515723,Bottles/Cans,3,71.31,47.54,0,0.0,71.31,0,0.0,0.0
1515723,Bottles/Cans,4,76.8,51.2,0,0.0,76.8,0,0.0,0.0
1515723,Bottles/Cans,5,82.28,54.85,0,0.0,82.28,0,0.0,0.0
1515723,Bottles/Cans,6,87.77,58.51,0,0.0,87.77,0,0.0,0.0
1515725,Bottles/Cans,0,60.78,40.52,1,0.0,60.78,0,0.0,0.0
1515725,Bottles/Cans,1,66.86,44.57,0,0.0,66.86,0,0.0,0.0
1515725,Bottles/Cans,2,72.94,48.62,0,0.0,72.94,0,0.0,0.0
1515725,Bottles/Cans,3,79.02,52.68,0,0.0,79.02,0,0.0,0.0
1515725,Bottles/Cans,4,85.09,56.73,0,0.0,85.09,0,0.0,0.0
1515725,Bottles/Cans,5,91.17,60.78,0,0.0,91.17,0,0.0,0.0
1515725,Bottles/Cans,6,97.25,64.83,0,0.0,97.25,0,0.0,0.0
1515726,Bottles/Cans,0,67.21,44.81,1,0.0,67.21,0,0.0,0.0
1515726,Bottles/Cans,1,73.93,49.29,0,0.0,73.93,0,0.0,0.0
1515726,Bottles/Cans,2,80.65,53.77,0,0.0,80.65,0,0.0,0.0
1515726,Bottles/Cans,3,87.37,58.25,0,0.0,87.37,0,0.0,0.0
1515726,Bottles/Cans,4,94.09,62.73,0,0.0,94.09,0,0.0,0.0
1515726,Bottles/Cans,5,100.81,67.21,0,0.0,100.81,0,0.0,0.0
1515726,Bottles/Cans,6,107.54,71.69,0,0.0,107.54,0,0.0,0.0
1515761,Bottles/Cans,0,92.22,61.48,1,17.22,75.0,0,0.0,0.0
1515761,Bottles/Cans,1,84.22,56.15,0,0.0,84.22,0,0.0,0.0
1515761,Bottles/Cans,2,93.44,62.3,0,0.0,93.44,0,0.0,0.0
1515761,Bottles/Cans,3,102.67,68.44,0,0.0,102.67,0,0.0,0.0
1515761,Bottles/Cans,4,111.89,74.59,0,0.0,111.89,0,0.0,0.0
1515761,Bottles/Cans,5,121.11,80.74,0,0.0,121.11,0,0.0,0.0
1515761,Bottles/Cans,6,130.33,86.89,0,0.0,130.33,0,0.0,0.0
1515765,Bottles/Cans,0,129.44,86.29,1,57.1,72.34,0,0.0,0.0
1515765,Bottles/Cans,1,85.28,56.85,0,0.0,85.28,0,0.0,0.0
1515765,Bottles/Cans,2,98.22,65.48,0,0.0,98.22,0,0.0,0.0
1515765,Bottles/Cans,3,111.17,74.11,0,0.0,111.17,0,0.0,0.0
1515765,Bottles/Cans,4,124.11,82.74,0,0.0,124.11,0,0.0,0.0
