Serial,stream,service_day,truck,inventory_gal_before_service,inventory_pct_before_service,pickup_gal,pickup_lb,interval_deadline
1503614,Compostables,0,T3,165.31,110.21,90.31,108.38,0.0
1503621,Waste,0,T4,79.43,52.95,24.75,24.75,2.0
1503633,Waste,0,T4,24.27,16.18,19.92,19.92,6.0
1503642,Bottles/Cans,0,T2,52.54,35.03,0.0,0.0,0.0
1503651,Compostables,0,T3,84.85,56.57,9.85,11.82,0.0
1514001,Compostables,0,T3,115.08,76.72,40.08,48.1,0.0
1514003,Compostables,0,T3,205.81,137.21,134.39,161.27,0.0
1514004,Compostables,0,T3,76.49,50.99,1.49,1.79,0.0
1514021,Bottles/Cans,0,T2,83.48,55.65,8.48,2.54,0.0
1514026,Waste,0,T4,225.0,150.0,150.0,150.0,1.0
1514027,Waste,0,T4,104.77,69.85,54.54,54.54,1.0
1514031,Waste,0,T1,90.57,60.38,90.57,90.57,4.0
1515668,Waste,0,T1,88.26,58.84,13.26,13.26,1.0
1515674,Waste,0,T4,210.85,140.56,150.0,150.0,1.0
1515700,Waste,0,T4,47.73,31.82,40.9,40.9,5.0
1515710,Waste,0,T4,44.13,29.42,26.51,26.51,5.0
1515716,Compostables,0,T3,102.08,68.05,39.58,47.5,0.0
1515722,Bottles/Cans,0,T2,106.39,70.93,47.59,14.28,0.0
1515723,Bottles/Cans,0,T2,54.85,36.57,0.0,0.0,0.0
1515725,Bottles/Cans,0,T2,60.78,40.52,0.0,0.0,0.0
1515726,Bottles/Cans,0,T2,67.21,44.81,0.0,0.0,0.0
1515738,Bottles/Cans,0,T2,25.2,16.8,0.0,0.0,0.0
1515739,Bottles/Cans,0,T2,139.93,93.29,129.87,38.96,1.0
1515743,Waste,0,T1,193.0,128.67,139.5,139.5,1.0
1515745,Waste,0,T4,77.1,51.4,4.21,4.21,1.0
1515750,Compostables,0,T3,162.01,108.0,104.58,125.5,0.0
1515761,Bottles/Cans,0,T2,92.22,61.48,17.22,5.17,0.0
1515765,Bottles/Cans,0,T2,129.44,86.29,57.1,17.13,0.0
1515766,Bottles/Cans,0,T2,33.23,22.15,5.0,1.5,0.0
1515773,Bottles/Cans,0,T2,138.33,92.22,126.66,38.0,1.0
1515776,Bottles/Cans,0,T2,86.72,57.82,11.72,3.52,0.0
1515788,Compostables,0,T3,125.1,83.4,50.1,60.12,0.0
1516530,Bottles/Cans,0,T2,77.71,51.81,2.71,0.81,0.0
1516548,Waste,0,T4,43.16,28.77,22.63,22.63,5.0
1516554,Waste,0,T1,163.71,109.14,150.0,150.0,1.0
1516556,Waste,0,T1,81.3,54.2,12.61,12.61,1.0
1520912,Compostables,0,T3,60.55,40.37,0.0,0.0,0.0
1520915,Waste,0,T1,145.56,97.04,87.22,87.22,2.0
2503763,Compostables,0,T3,104.61,69.74,29.61,35.53,0.0
2503767,Waste,0,T4,58.5,39.0,0.0,0.0,0.0
2503768,Waste,0,T1,39.21,26.14,6.84,6.84,6.0
