day,truck,assigned_stream,pickup_gal_used,pickup_gal_capacity_effective,pickup_lb_used,pickup_lb_capacity_effective,extra_dumps,minutes_used_without_dumps,minutes_used_total,overtime_min,minutes_capacity_regular,minutes_capacity_with_overtime,resource_model
0,T1,Waste,500.0,500.0,500.0,1300.0,0,84.0,84.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
0,T2,Bottles/Cans,406.36,450.0,121.91,1300.0,0,168.0,168.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
0,T3,Compostables,500.0,500.0,600.0,1300.0,0,120.0,120.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
0,T4,Waste,493.45,500.0,493.45,1300.0,0,120.0,120.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
1,T1,Waste,500.0,500.0,500.0,1300.0,0,96.0,96.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
1,T2,Compostables,500.0,500.0,600.0,1300.0,0,204.0,204.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
1,T3,Bottles/Cans,291.36,450.0,87.41,1300.0,0,312.0,312.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
1,T4,Waste,500.0,500.0,500.0,1300.0,0,108.0,108.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
2,T1,Compostables,500.0,500.0,600.0,1300.0,0,108.0,108.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
2,T2,Compostables,500.0,500.0,600.0,1300.0,0,108.0,108.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
2,T3,Compostables,430.96,500.0,517.15,1300.0,0,84.0,84.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
2,T4,Waste,500.0,500.0,500.0,1300.0,0,180.0,180.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
3,T1,Waste,500.0,500.0,500.0,1300.0,0,72.0,72.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
3,T2,Compostables,500.0,500.0,600.0,1300.0,0,144.0,144.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
3,T3,Bottles/Cans,283.85,450.0,85.16,1300.0,0,24.0,24.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
3,T4,Waste,1397.09,1500.0,1397.09,3900.0,2,228.0,262.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
4,T1,Compostables,500.0,500.0,600.0,1300.0,0,300.0,300.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
4,T2,Waste,500.0,500.0,500.0,1300.0,0,180.0,180.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
4,T3,Bottles/Cans,310.39,450.0,93.12,1300.0,0,132.0,132.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
4,T4,Waste,451.01,500.0,451.01,1300.0,0,132.0,132.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
5,T1,,0.0,,0.0,1300.0,0,0.0,0.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
5,T2,,0.0,,0.0,1300.0,0,0.0,0.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
5,T3,,0.0,,0.0,1300.0,0,0.0,0.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
5,T4,,0.0,,0.0,1300.0,0,0.0,0.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
6,T1,,0.0,,0.0,1300.0,0,0.0,0.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
6,T2,,0.0,,0.0,1300.0,0,0.0,0.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
6,T3,,0.0,,0.0,1300.0,0,0.0,0.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
6,T4,,0.0,,0.0,1300.0,0,0.0,0.0,0.0,480.0,480.0,four_trucks_one_driver_each_8hr_shift
