from_node,to_node,from_label,to_label,distance_m,travel_min,travel_min_raw
0,0,DEPOT,DEPOT,0.0,0.0,0.0
0,1,DEPOT,W08 University Drive,532.05,4.53,3.31
0,2,DEPOT,E19 South Path Drive,242.5,2.07,1.51
0,3,DEPOT,W18 Campanile Way West Entrance,1246.09,10.6,7.74
0,4,DEPOT,E14 Physics,209.09,1.78,1.3
0,5,DEPOT,E14 Physics,209.09,1.78,1.3
0,6,DEPOT,U16 Durant Hall,1489.52,12.68,9.26
0,7,DEPOT,W11 Moffitt Library @ Press,352.21,3.0,2.19
0,8,DEPOT,Bechtel East,318.98,2.71,1.98
0,9,DEPOT,001 Berkeley Way (Offsite),1124.05,9.56,6.98
0,10,DEPOT,W11 Moffitt Library @ Press,352.21,3.0,2.19
0,11,DEPOT,Bechtel East,318.98,2.71,1.98
0,12,DEPOT,W13 Recreational Sport Facility (LF),1594.29,13.57,9.91
0,13,DEPOT,E25 Cronk Gate,615.89,5.24,3.83
0,14,DEPOT,W02 Crescent,803.07,6.83,4.99
0,15,DEPOT,E06 Sutardja Dali Hall/Yali's 1,469.23,4.0,2.92
0,16,DEPOT,E29 Campanile East,0.0,0.0,0.0
0,17,DEPOT,E16 Campanile,158.71,1.36,0.99
0,18,DEPOT,U09 MLK Ramp,1685.13,14.33,10.47
0,19,DEPOT,E13 Stanley Hall,385.26,3.27,2.39
0,20,DEPOT,U27 Anthony Hall,1637.35,13.92,10.17
0,21,DEPOT,E15 Bancroft Library,116.6,0.99,0.72
0,22,DEPOT,U05 Cesar Chavez,1540.17,13.1,9.57
0,23,DEPOT,U17 Dwinelle Plaza Entry,1518.32,12.91,9.43
0,24,DEPOT,E02 North Entrance Memorial Glade,252.32,2.15,1.57
0,25,DEPOT,W12 VLSB/Campanile Way,1423.49,12.12,8.85
0,26,DEPOT,E02 North Entrance Memorial Glade,252.32,2.15,1.57
0,27,DEPOT,E05 V&A Cafe/Etcheverry,533.95,4.54,3.32
0,28,DEPOT,E02 North Entrance Memorial Glade,252.32,2.15,1.57
0,29,DEPOT,E07 Sutardja Dai Hall/Yali's 2,469.23,4.0,2.92
0,30,DEPOT,U07 Cal Book Store,1567.33,13.33,9.74
0,31,DEPOT,E06 Sutardja Dali Hall/Yali's 1,469.23,4.0,2.92
0,32,DEPOT,E03 University Library,116.6,0.99,0.72
0,33,DEPOT,U33 Spieker Plaza,1667.27,14.18,10.36
0,34,DEPOT,W17 Mulford Hall,778.58,6.63,4.84
0,35,DEPOT,W16 VLSB Northside,457.99,3.9,2.85
0,36,DEPOT,U28 Wheeler,102.83,0.88,0.64
0,37,DEPOT,E30 Tan Hall North Side,315.01,2.68,1.96
0,38,DEPOT,Hearst Gym Annex,1359.97,11.57,8.45
0,39,DEPOT,U03 Grade Street,1540.17,13.1,9.57
0,40,DEPOT,U26 A&E Sproul,1816.05,15.44,11.28
0,41,DEPOT,W06 West Circle,647.83,5.52,4.03
1,0,W08 University Drive,DEPOT,532.05,4.53,3.31
1,1,W08 University Drive,W08 University Drive,0.0,0.0,0.0
1,2,W08 University Drive,E19 South Path Drive,709.32,6.04,4.41
1,3,W08 University Drive,W18 Campanile Way West Entrance,714.04,6.08,4.44
1,4,W08 University Drive,E14 Physics,507.94,4.33,3.16
1,5,W08 University Drive,E14 Physics,507.94,4.33,3.16
1,6,W08 University Drive,U16 Durant Hall,957.47,8.15,5.95
1,7,W08 University Drive,W11 Moffitt Library @ Press,179.84,1.53,1.12
1,8,W08 University Drive,Bechtel East,617.83,5.26,3.84
1,9,W08 University Drive,001 Berkeley Way (Offsite),680.12,5.79,4.23
1,10,W08 University Drive,W11 Moffitt Library @ Press,179.84,1.53,1.12
1,11,W08 University Drive,Bechtel East,617.83,5.26,3.84
1,12,W08 University Drive,W13 Recreational Sport Facility (LF),1062.24,9.04,6.6
1,13,W08 University Drive,E25 Cronk Gate,1034.72,8.8,6.43
1,14,W08 University Drive,W02 Crescent,271.02,2.3,1.68
1,15,W08 University Drive,E06 Sutardja Dali Hall/Yali's 1,496.64,4.23,3.09
1,16,W08 University Drive,E29 Campanile East,532.05,4.53,3.31
1,17,W08 University Drive,E16 Campanile,690.76,5.87,4.29
1,18,W08 University Drive,U09 MLK Ramp,1240.42,10.55,7.71
1,19,W08 University Drive,E13 Stanley Hall,684.11,5.82,4.25
1,20,W08 University Drive,U27 Anthony Hall,1644.65,13.99,10.22
1,21,W08 University Drive,E15 Bancroft Library,415.45,3.53,2.58
1,22,W08 University Drive,U05 Cesar Chavez,1008.12,8.57,6.26
1,23,W08 University Drive,U17 Dwinelle Plaza Entry,986.27,8.39,6.13
1,24,W08 University Drive,E02 North Entrance Memorial Glade,279.73,2.38,1.74
1,25,W08 University Drive,W12 VLSB/Campanile Way,891.44,7.58,5.54
1,26,W08 University Drive,E02 North Entrance Memorial Glade,279.73,2.38,1.74
1,27,W08 University Drive,E05 V&A Cafe/Etcheverry,475.74,4.05,2.96
1,28,W08 University Drive,E02 North Entrance Memorial Glade,279.73,2.38,1.74
1,29,W08 University Drive,E07 Sutardja Dai Hall/Yali's 2,496.64,4.23,3.09
1,30,W08 University Drive,U07 Cal Book Store,1249.4,10.62,7.76
1,31,W08 University Drive,E06 Sutardja Dali Hall/Yali's 1,496.64,4.23,3.09
1,32,W08 University Drive,E03 University Library,415.45,3.53,2.58
1,33,W08 University Drive,U33 Spieker Plaza,1135.22,9.65,7.05
1,34,W08 University Drive,W17 Mulford Hall,246.53,2.09,1.53
1,35,W08 University Drive,W16 VLSB Northside,74.06,0.63,0.46
1,36,W08 University Drive,U28 Wheeler,634.88,5.39,3.94
1,37,W08 University Drive,E30 Tan Hall North Side,613.86,5.22,3.81
1,38,W08 University Drive,Hearst Gym Annex,1456.76,12.39,9.05
1,39,W08 University Drive,U03 Grade Street,1008.12,8.57,6.26
1,40,W08 University Drive,U26 A&E Sproul,1823.35,15.51,11.33
1,41,W08 University Drive,W06 West Circle,115.78,0.99,0.72
2,0,E19 South Path Drive,DEPOT,242.5,2.07,1.51
2,1,E19 South Path Drive,W08 University Drive,709.32,6.04,4.41
2,2,E19 South Path Drive,E19 South Path Drive,0.0,0.0,0.0
2,3,E19 South Path Drive,W18 Campanile Way West Entrance,1423.37,12.1,8.84
2,4,E19 South Path Drive,E14 Physics,243.43,2.07,1.51
2,5,E19 South Path Drive,E14 Physics,243.43,2.07,1.51
2,6,E19 South Path Drive,U16 Durant Hall,1666.79,14.18,10.36
2,7,E19 South Path Drive,W11 Moffitt Library @ Press,529.48,4.5,3.29
2,8,E19 South Path Drive,Bechtel East,229.87,1.96,1.43
2,9,E19 South Path Drive,001 Berkeley Way (Offsite),1301.32,11.07,8.09
2,10,E19 South Path Drive,W11 Moffitt Library @ Press,529.48,4.5,3.29
2,11,E19 South Path Drive,Bechtel East,229.87,1.96,1.43
2,12,E19 South Path Drive,W13 Recreational Sport Facility (LF),1511.99,12.87,9.4
2,13,E19 South Path Drive,E25 Cronk Gate,373.39,3.18,2.32
2,14,E19 South Path Drive,W02 Crescent,980.34,8.34,6.09
2,15,E19 South Path Drive,E06 Sutardja Dali Hall/Yali's 1,646.5,5.5,4.02
2,16,E19 South Path Drive,E29 Campanile East,242.5,2.07,1.51
2,17,E19 South Path Drive,E16 Campanile,117.98,1.0,0.73
2,18,E19 South Path Drive,U09 MLK Ramp,1442.63,12.27,8.96
2,19,E19 South Path Drive,E13 Stanley Hall,219.64,1.86,1.36
2,20,E19 South Path Drive,U27 Anthony Hall,1394.85,11.87,8.67
2,21,E19 South Path Drive,E15 Bancroft Library,293.87,2.51,1.83
2,22,E19 South Path Drive,U05 Cesar Chavez,1717.44,14.61,10.67
2,23,E19 South Path Drive,U17 Dwinelle Plaza Entry,1695.59,14.43,10.54
2,24,E19 South Path Drive,E02 North Entrance Memorial Glade,429.59,3.66,2.67
2,25,E19 South Path Drive,W12 VLSB/Campanile Way,1600.76,13.62,9.95
2,26,E19 South Path Drive,E02 North Entrance Memorial Glade,429.59,3.66,2.67
2,27,E19 South Path Drive,E05 V&A Cafe/Etcheverry,711.22,6.05,4.42
2,28,E19 South Path Drive,E02 North Entrance Memorial Glade,429.59,3.66,2.67
2,29,E19 South Path Drive,E07 Sutardja Dai Hall/Yali's 2,646.5,5.5,4.02
2,30,E19 South Path Drive,U07 Cal Book Store,1324.83,11.27,8.23
2,31,E19 South Path Drive,E06 Sutardja Dali Hall/Yali's 1,646.5,5.5,4.02
2,32,E19 South Path Drive,E03 University Library,293.87,2.51,1.83
